"idBank";"Dernière mise à jour";"﻿Base de l'indice";"Instruments";"Série arrêtée";"Correction";"Indicateur";"Zone géographique";"Secteurs institutionnels";"Puissance";"Unité";"Périodicité";"Nature"
"010777608";"24/03/2025 05:26";"2020";"Ensemble des instruments";"non";"Non corrigé";"Dette trimestrielle des administrations publiques au sens de Maastricht";"France";"S13 - Administrations publiques (APU)";"0";"%";"Trimestrielle";"Proportion"
""
"Codes"
""
"Q";"Couvert par le secret statistique"
"E";"Estimation"
"F";"Prévision"
"P";"Provisoire"
"SD";"Valeur semi-définitive"
"R";"Révision"
"A";"Valeur normale"
"N";"Valeur non significative"
"O";"Valeur manquante"
"U";"Valeur atypique"
